cactus_id,legacy_display_name,accepted_name,accepted_author,accepted_genus,species,subfamily,tribe,names_count,all_names,all_names_with_status,photo_main_url,photo_flower_url,photo_spines_url,morphology_stem,morphology_spines,morphology_flower,morphology_fruit,notes_ru
wfo-0000651956,Discocactus ferricola,Discocactus ferricola,Buining & Brederoo,Discocactus,ferricola,,,1,Discocactus ferricola,Discocactus ferricola [Accepted],,,,,,,,
wfo-0000651977,Discocactus woutersianus,Discocactus horstii,Buining & Brederoo,Discocactus,horstii,,,2,Discocactus horstii | Discocactus woutersianus,Discocactus horstii [Accepted] | Discocactus woutersianus [Synonym],,,,,,,,
wfo-0000652003,Discocactus pseudoinsignis,Discocactus pseudoinsignis,N.P.Taylor & Zappi,Discocactus,pseudoinsignis,,,1,Discocactus pseudoinsignis,Discocactus pseudoinsignis [Accepted],,,,,,,,
wfo-0000652014,Echinocactus subnudus,Discocactus subnudus,Britton & Rose,Discocactus,subnudus,,,2,Discocactus subnudus | Echinocactus subnudus,Discocactus subnudus [Accepted] | Echinocactus subnudus [Synonym],,,,,,,,
wfo-0000652205,× Disisocactus × petersenii,× Disisocactus × petersenii,Doweld,Disisocactus,petersenii,,,1,× Disisocactus × petersenii,× Disisocactus × petersenii [Accepted],,,,,,,,
wfo-0000652229,Disisorhipsalis macrantha,Disocactus macranthus,(Alexander) Kimnach & Hutchison,Disocactus,macranthus,,,3,Disisorhipsalis macrantha | Disocactus macranthus | Pseudorhipsalis macrantha,Disisorhipsalis macrantha [Synonym] | Disocactus macranthus [Accepted] | Pseudorhipsalis macrantha [Synonym],,,,,,,,
wfo-0001287078,Disocactus acuminatus,Pseudorhipsalis acuminata,Cufod.,Pseudorhipsalis,acuminata,,,5,Disocactus acuminatus | Disocactus horichii | Pseudorhipsalis acuminata | Pseudorhipsalis horichii | Rhipsalis acuminata,Disocactus acuminatus [Synonym] | Disocactus horichii [Synonym] | Pseudorhipsalis acuminata [Accepted] | Pseudorhipsalis horichii [Synonym] | Rhipsalis acuminata [Synonym],,,,,,,,
wfo-0000652216,Heliocereus aurantiacus,Disocactus aurantiacus,(Kimnach) Barthlott,Disocactus,aurantiacus,,,2,Disocactus aurantiacus | Heliocereus aurantiacus,Disocactus aurantiacus [Accepted] | Heliocereus aurantiacus [Synonym],,,,,,,,
wfo-0000652220,Epiphyllum eichlamii,Disocactus eichlamii,(Weing.) Britton & Rose,Disocactus,eichlamii,,,4,Disocactus eichlamii | Epiphyllum eichlamii | Phyllocactus eichlamii | Trochilocactus eichlamii,Disocactus eichlamii [Accepted] | Epiphyllum eichlamii [Synonym] | Phyllocactus eichlamii [Synonym] | Trochilocactus eichlamii [Synonym],,,,,,,,
wfo-0001287174,Disocactus himantocladus,Pseudorhipsalis himantoclada,(Rol.-Goss.) Britton & Rose,Pseudorhipsalis,himantoclada,,,5,Disocactus himantocladus | Pseudorhipsalis himantoclada | Rhipsalis himantoclada | Wittia costaricensis | Wittia himantoclada,Disocactus himantocladus [Synonym] | Pseudorhipsalis himantoclada [Accepted] | Rhipsalis himantoclada [Synonym] | Wittia costaricensis [Synonym] | Wittia himantoclada [Synonym],,,,,,,,
wfo-0000652224,Heliochia vandesii,Disocactus × hybridus,(Van Geel) Barthlott,Disocactus,hybridus,,,2,Disocactus × hybridus | Heliochia vandesii,Disocactus × hybridus [Accepted] | Heliochia vandesii [Synonym],,,,,,,,
wfo-0001289779,Disocactus lankesteri,Pseudorhipsalis lankesteri,(Kimnach) Barthlott,Pseudorhipsalis,lankesteri,,,2,Disocactus lankesteri | Pseudorhipsalis lankesteri,Disocactus lankesteri [Synonym] | Pseudorhipsalis lankesteri [Accepted],,,,,,,,
wfo-0000652228,Heliocereus macdougallii,Disocactus macdougallii,(Alexander) Barthlott,Disocactus,macdougallii,,,5,Disocactus macdougallii | Heliocereus macdougallii | Lobeira macdougallii | Nopalopuntia macdougallii | Nopalxochia macdougallii,Disocactus macdougallii [Accepted] | Heliocereus macdougallii [Synonym] | Lobeira macdougallii [Synonym] | Nopalopuntia macdougallii [Synonym] | Nopalxochia macdougallii [Synonym],,,,,,,,
wfo-0001255860,Dolichothele baumii,Mammillaria baumii,Boed.,Mammillaria,baumii,,,4,Dolichothele baumii | Ebnerella baumii | Mammillaria baumii | Mammillaria radiaissima,Dolichothele baumii [Synonym] | Ebnerella baumii [Synonym] | Mammillaria baumii [Accepted] | Mammillaria radiaissima [Synonym],,,,,,,,
wfo-0001288317,Dolichothele surculosa,Mammillaria surculosa,Boed.,Mammillaria,surculosa,,,3,Dolichothele surculosa | Ebnerella surculosa | Mammillaria surculosa,Dolichothele surculosa [Synonym] | Ebnerella surculosa [Synonym] | Mammillaria surculosa [Accepted],,,,,,,,
wfo-0000659131,Ebnerella essbaussieri,Ebnerella essbaussieri,(Frič) Buxb.,Ebnerella,essbaussieri,,,1,Ebnerella essbaussieri,Ebnerella essbaussieri [Unchecked],,,,,,,,
wfo-0001256318,Ebnerella nunezii,Mammillaria nunezii,(Britton & Rose) Orcutt,Mammillaria,nunezii,,,3,Ebnerella nunezii | Mammillaria nunezii | Neomammillaria nunezii,Ebnerella nunezii [Synonym] | Mammillaria nunezii [Accepted] | Neomammillaria nunezii [Synonym],,,,,,,,
wfo-0001289656,Eccremocactus bradei,Weberocereus bradei,(Britton & Rose) G.D.Rowley,Weberocereus,bradei,,,4,Eccremocactus bradei | Epiphyllum bradei | Phyllocactus bradei | Weberocereus bradei,Eccremocactus bradei [Synonym] | Epiphyllum bradei [Synonym] | Phyllocactus bradei [Synonym] | Weberocereus bradei [Accepted],,,,,,,,
wfo-0000660155,Echinocactus acanthion,Echinocactus acanthion,Salm-Dyck,Echinocactus,acanthion,,,1,Echinocactus acanthion,Echinocactus acanthion [Unchecked],,,,,,,,
wfo-0000686237,Echinocactus acanthodes,Ferocactus acanthodes,(Lem.) Britton & Rose,Ferocactus,acanthodes,,,7,Echinocactus acanthodes | Echinocactus copoldi | Echinocactus leopoldii | Echinocactus rostii | Ferocactus acanthodes | Ferocactus cylindraceus | Ferocactus rostii,Echinocactus acanthodes [Synonym] | Echinocactus copoldi [Synonym] | Echinocactus leopoldii [Synonym] | Echinocactus rostii [Synonym] | Ferocactus acanthodes [Accepted] | Ferocactus cylindraceus [Synonym] | Ferocactus rostii [Synonym],,,,,,,,
