tax_id,accepted_name,synonym,symbol,synonym_symbol,name
3081416,Opuntia polyacantha var. trichophora,Opuntia missouriensis var. trichophora,,,
1302821,Selenicereus sp. OP-2013a,Hylocereus sp. OP-2013a,,,
1041619,Pilosocereus arrabidae,Cereus arrabidae,,,
1574108,Soehrensia spachiana,Cereus spachianus,,,
1574108,Soehrensia spachiana,Echinopsis spachiana,,,
1574108,Soehrensia spachiana,Trichocereus spachianus,,,
3433703,Lobivia minutiflora,Lobivia chrysochete var. minutiflora,,,
3433704,Soehrensia grandiflora,Lobivia grandiflora,,,
1574138,Opuntia megapotamica,Opuntia brunneogemmia,,,
1574138,Opuntia megapotamica,Platyopuntia brunneogemmia,,,
1686175,Grusonia aggeria,Opuntia aggeria,,,
337189,Echinocereus enneacanthus subsp. brevispinus,Echinocereus enneacanthus f. brevispinus,,,
1959239,Disocactus ackermannii subsp. conzattianus,Nopalxochia conzattiana,,,
1959240,Disocactus crenatus subsp. kimnachii,Epiphyllum crenatum var. kimnachii,,,
1959241,Disocactus macdougallii,Lobeira macdougallii,,,
1959242,Disocactus nelsonii subsp. hondurensis,Disocactus nelsonii var. hondurensis,,,
1959244,Disocactus speciosus subsp. blomianus,Heliocereus aurantiacus var. blomianus,,,
1959246,Epiphyllum hookeri subsp. columbiense,Phyllocactus phyllanthus var. columbiensis,,,
1959247,Epiphyllum hookeri subsp. guatemalense,Epiphyllum guatemalense,,,
1959248,Epiphyllum phyllanthus subsp. rubrocoronatum,Epiphyllum phyllanthus var. rubrocoronatum,,,
1959249,Epiphyllum thomasianum subsp. costaricense,Phyllocactus costaricensis,,,
1959251,Selenicereus extensus,Cereus extensus,,,
1959251,Selenicereus extensus,Hylocereus extensus,,,
1959252,Selenicereus minutiflorus,Hylocereus minutiflorus,,,
1959253,Selenicereus setaceus,Cereus setaceus,,,
1959253,Selenicereus setaceus,Hylocereus setaceus,,,
1959254,Selenicereus stenopterus,Cereus stenopterus,,,
1959254,Selenicereus stenopterus,Hylocereus stenopterus,,,
1959255,Selenicereus tricae,Hylocereus tricae,,,
1959256,Pfeiffera monacantha subsp. kimnachii,Acanthorhipsalis monacantha subsp. kimnachii,,,
336128,Cephalocereus macrocephalus,Neobuxbaumia macrocephala,,,
1959258,Pseudorhipsalis alata,Cactus alatus,,,
1959262,Pseudorhipsalis lankesteri,Disocactus lankesteri,,,
1959263,Kimnachia ramulosa,Cereus ramulosus,,,
1959263,Kimnachia ramulosa,Pseudorhipsalis ramulosa,,,
1959264,Kimnachia ramulosa subsp. jamaicensis,Pseudorhipsalis ramulosa subsp. jamaicensis,,,
1959264,Kimnachia ramulosa subsp. jamaicensis,Rhipsalis jamaicensis,,,
1959261,Pseudorhipsalis amazonica subsp. panamensis,Wittia panamensis,,,
1959265,Selenicereus anthonyanus,Cryptocereus anthonyanus,,,
1959272,Selenicereus nelsonii,Cereus nelsonii,,,
1959277,Weberocereus glaber subsp. mirandae,Selenicereus mirandae,,,
1959278,Weberocereus imitans,Werckleocereus imitans,,,
1959279,Weberocereus rosei,Eccremocactus rosei,,,
1959280,Weberocereus tonduzii,Cereus tonduzii,,,
1959282,Weberocereus tunilla,Cereus tunilla,,,
1959283,Weberocereus tunilla subsp. biolleyi,Rhipsalis biolleyi,,,
3433870,Chamaecereus stilowianus,Lobivia schreiteri var. stilowiana,,,
3433870,Chamaecereus stilowianus,Lobivia stilowiana,,,
3433871,Echinopsis densispina var. densispina,Lobivia densispina var. densispina,,,
3433872,Chamaecereus schreiteri var. schreiteri,Lobivia schreiteri var. schreiteri,,,
83431,Selenicereus,Cereus subgen. Hylocereus,,,
83431,Selenicereus,Cereus subsect. Selenicereus,,,
83431,Selenicereus,Hylocereus,,,
83432,Strophocactus wittii,Cereus wittii,,,
83432,Strophocactus wittii,Selenicereus wittii,,,
1812013,Sclerocactus brevihamatus subsp. tobuschii,Mammillaria tobuschii,,,
