genus,species,scientificName,acceptedNameUsage
Mammillaria,Mammillaria rekoi,Mammillaria rekoi (Britton & Rose) Vaupel,Mammillaria rekoi
Ariocarpus,Ariocarpus retusus,Ariocarpus retusus Scheidw.,Ariocarpus retusus
Coryphantha,Coryphantha cornifera,Coryphantha radians (DC.) Britton & Rose,Coryphantha cornifera
Cylindropuntia,Cylindropuntia kleiniae,Cylindropuntia kleiniae (DC.) F.M.Knuth,Cylindropuntia kleiniae
Mammillaria,Mammillaria pottsii,Mammillaria pottsii Scheer ex Salm-Dyck,Mammillaria pottsii
Turbinicarpus,Turbinicarpus hoferi,Turbinicarpus hoferi Lüthy & A.B.Lau,Turbinicarpus hoferi
Echinocactus,Echinocactus parryi,Echinocactus parryi Engelm.,Homalocephala parryi
Sclerocactus,Sclerocactus scheerii,Sclerocactus scheerii (Salm-Dyck) N.P.Taylor,Sclerocactus scheeri
Pelecyphora,Pelecyphora aselliformis,Pelecyphora aselliformis C.Ehrenb.,Pelecyphora aselliformis
Mammillaria,Mammillaria albicoma,Mammillaria albicoma Boed.,Mammillaria albicoma
Mammillaria,Mammillaria candida,Mammillaria candida Scheidw.,Mammillaria candida
Ferocactus,Ferocactus emoryi,Ferocactus emoryi (Engelm.) Orcutt,Ferocactus emoryi
Echinocereus,Echinocereus pectinatus,Echinocereus pectinatus (Scheidw.) Engelm.,Echinocereus pectinatus
Mammillaria,Mammillaria huitzilopochtli,Mammillaria huitzilopochtli D.R.Hunt,Mammillaria huitzilopochtli
Coryphantha,Coryphantha pallida,Coryphantha pseudoradians Bravo,Coryphantha pseudoradians
Opuntia,Opuntia pycnantha,Opuntia pycnantha Engelm. ex J.M.Coult.,Opuntia pycnantha
Stenocactus,Stenocactus crispatus,Stenocactus lamellosus (A.Dietr.) A.Berger,Stenocactus obvallatus
Grusonia,Grusonia bulbispina,Corynopuntia bulbispina (Engelm.) F.M.Knuth,Grusonia bulbispina
Ferocactus,Ferocactus macrodiscus,Ferocactus macrodiscus (Matt.) Britton & Rose,Ferocactus macrodiscus
Stenocereus,Stenocereus gummosus,Stenocereus gummosus (Engelm.) A.C.Gibson & K.E.Horak,Stenocereus gummosus
Mammillaria,Mammillaria sanchez-mejoradae,Mammillaria sanchez-mejoradae Rodr.González,Mammillaria sanchez-mejoradae
Lophophora,Lophophora williamsii,Lophophora williamsii (Lem. ex Salm-Dyck) J.M.Coult.,Lophophora williamsii
Mammillaria,Mammillaria magnimamma,Mammillaria magnimamma Haw.,Mammillaria magnimamma
Opuntia,Opuntia rastrera,Opuntia rastrera F.A.C.Weber,Opuntia rastrera
Opuntia,Opuntia pilifera,Opuntia pilifera F.A.C.Weber,Opuntia pilifera
Selenicereus,Selenicereus spinulosus,Selenicereus spinulosus (DC.) Britton & Rose,Selenicereus spinulosus
Pelecyphora,Pelecyphora strobiliformis,Pelecyphora strobiliformis (Werderm.) Fric & Schelle,Pelecyphora strobiliformis
Obregonia,Obregonia denegrii,Obregonia denegrii Fric,Obregonia denegrii
Kroenleinia,Kroenleinia grusonii,Echinocactus grusonii Hildm.,Kroenleinia grusonii
Pachycereus,Pachycereus schottii,Pachycereus schottii (Engelm.) D.R.Hunt,Lophocereus schottii
Opuntia,Opuntia huajuapensis,Opuntia huajuapensis Bravo,Opuntia huajuapensis
Mammillaria,Mammillaria flavicentra,Mammillaria flavicentra Backeb.,Mammillaria flavicentra
Opuntia,Opuntia parviclada,Opuntia parviclada S.Arias & Gama,Opuntia parviclada
Cylindropuntia,Cylindropuntia cholla,Opuntia cholla F.A.C.Weber,Cylindropuntia cholla
Echinocereus,Echinocereus brandegeei,Echinocereus brandegeei (J.M.Coult.) K.Schum.,Echinocereus brandegeei
Opuntia,Opuntia tehuacana,Opuntia tehuacana S.Arias & U.Guzmán,Opuntia tehuacana
Pachycereus,Pachycereus pringlei,Pachycereus pringlei (S.Watson) Britton & Rose,Pachycereus pringlei
Stenocereus,Stenocereus stellatus,Stenocereus stellatus (Pfeiff.) Riccob.,Stenocereus stellatus
Cephalocereus,Cephalocereus tetetzo,Neobuxbaumia tetetzo (F.A.C.Weber ex J.M.Coult.) Backeb.,Cephalocereus tetetzo
Mammillaria,Mammillaria heyderi,Mammillaria heyderi Muehlenpf.,Mammillaria heyderi
Ferocactus,Ferocactus peninsulae,Ferocactus peninsulae (F.A.C.Weber) Britton & Rose,Ferocactus peninsulae
Selenicereus,Selenicereus grandiflorus,Selenicereus grandiflorus (L.) Britton & Rose,Selenicereus grandiflorus
Stenocereus,Stenocereus queretaroensis,Stenocereus queretaroensis (F.A.C.Weber ex Mathsson) Buxb.,Stenocereus queretaroensis
Epiphyllum,Epiphyllum hookeri,Epiphyllum hookeri Haw.,Epiphyllum hookeri
Echinocereus,Echinocereus fendleri,Echinocereus fendleri (Engelm.) Rümpler,Echinocereus fendleri
